,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,0,4129592.7929594712,4129592.7929594712,4129592.7929594712,4129592.7929594712,4129493.925671859,4129493.925671859
1,1,4134196.1375678517,4134196.1375678517,4134196.1375678517,4134196.1375678517,4141830.8892223183,4134097.270280239
2,2,4139950.318328327,4139950.318328327,4139950.318328327,4139950.318328327,4159717.896124165,4139851.451040715
3,3,4181320.570151174,4181320.570151174,4181320.570151174,4181320.570151174,4216175.390440017,4183959.513368244
4,4,4317795.2095121015,4317795.2095121015,4317795.209512004,4317795.2095121015,4368736.513333303,4334424.426937884
5,5,4466827.554532476,4466827.554532476,4466827.55453231,4466827.554532476,4551372.704059087,4448808.765661831
6,6,4649218.237584061,4649218.237584061,4649407.99505756,4649218.237584061,4742679.651455602,4559204.58726096
7,7,4918873.422946414,4918873.422946414,4918873.422946251,4918873.422946414,4972882.790996678,4781626.61149179
8,8,5220689.488040004,5220689.488040004,5220689.48803985,5220689.488040004,5316343.989661634,5140642.670585385
9,9,5578374.357833421,5578082.839178995,5578745.441811872,5578082.839178994,5743481.7734951265,5563354.90890109
10,10,5990517.567636158,5990688.065616287,5992165.6761138085,5990688.065616287,6225398.286610861,5992202.180287965
11,11,6649507.347668013,6681479.509064013,6691384.26649154,6681479.509064013,6783466.470779633,6728261.9947999865
12,12,7294245.392427785,7572292.226719607,7570094.786292043,7572292.226719607,7480609.702405475,7503648.339059294
13,13,7782343.775435227,8594159.766056797,8571432.24442754,8594159.766056797,8465863.529076489,8497288.700560886
