,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,0,1271968.4249999996,1271968.4249999996,1271968.4249999996,512588788.4250001,1271968.4249999996,1271968.4249999998
1,1,1377525.314522175,1377525.314522175,1377525.314522175,512694345.3145222,1377525.314522175,1377525.3145221747
2,2,1495144.5556388248,1495144.5556388248,1495144.5556388248,512811964.55563885,1495144.555638825,1495144.5556388248
3,3,1626496.25435115,1626496.25435115,1626496.25435115,512943316.25435114,1626496.2543511498,1626496.25435115
4,4,1773506.1823137747,1773506.1823137747,1773506.1823137747,513090326.1823138,1773506.1823137745,1773506.1823137747
5,5,1938397.1329973247,1938397.1329973247,1938397.1329973247,513255217.13299733,1938397.1329973247,1938397.132997325
6,6,2123736.9012541496,2123736.9012541496,2123736.9012541496,513440556.9012541,2123736.9012541496,2123736.90125415
7,7,2332494.3988983,2332494.3988983,2332494.3988983,513649314.3988983,2332494.3988983,2332494.3988983
8,8,2568104.8230337505,2568104.8230337505,2568104.8230337505,513884924.82303375,2568104.82303375,2568104.8230337505
9,9,2834546.054374125,2834546.054374125,2834546.054374125,514151366.0543741,2834546.0543741244,2834546.0543741253
10,10,3136427.37417555,3136427.37417555,3136427.3741755504,514453247.37417555,3136427.37417555,3136427.3741755495
11,11,3479093.3416580255,3479093.341658025,3479093.3416580255,514795913.34165806,3479093.341658025,3479093.3416580246
12,12,56418098573.28754,3868744.6883016746,3868744.688301675,515185564.6883017,3868744.6883016746,3868744.6883016746
13,13,220126488308.37003,4312579.827198825,4312579.827198824,515629399.8271988,4312579.827198825,4312579.827198825
