,technology,location,time_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,AUS,0,11.058,11.058,11.058,11.058,11.058,11.058
1,Aluminium_production,AUS,1,11.058,11.058,11.058,11.058,11.058,11.058
2,Aluminium_production,AUS,2,11.058,11.058,11.058,11.058,11.058,11.058
3,Aluminium_production,AUS,3,11.058,11.058,11.058,11.058,11.058,11.058
4,Aluminium_production,AUS,4,11.058,11.058,11.058,11.058,11.058,11.058
5,Aluminium_production,AUS,5,11.058,11.058,11.058,11.058,11.058,11.058
6,Aluminium_production,AUS,6,11.058,11.058,11.058,11.058,11.058,11.058
7,Aluminium_production,AUS,7,11.058,11.058,11.058,11.058,11.058,11.058
8,Aluminium_production,AUS,8,11.058,11.058,11.058,11.058,11.058,11.058
9,Aluminium_production,AUS,9,11.058,11.058,11.058,11.058,11.058,11.058
10,Aluminium_production,AUS,10,11.058,11.058,11.058,11.058,11.058,11.058
11,Aluminium_production,AUS,11,11.058,11.058,11.058,11.058,11.058,11.058
12,Aluminium_production,AUS,12,11.058,11.058,11.058,11.058,11.058,11.058
13,Aluminium_production,AUS,13,11.058,11.058,11.058,11.058,11.058,11.058
14,Aluminium_production,AUT,0,3.843548,3.843548,3.843548,3.843548,3.843548,3.843548
15,Aluminium_production,AUT,1,3.843548,3.843548,3.843548,3.843548,3.843548,3.843548
16,Aluminium_production,AUT,2,3.843548,3.843548,3.843548,3.843548,3.843548,3.843548
17,Aluminium_production,AUT,3,3.843548,3.843548,3.843548,3.843548,3.843548,3.843548
18,Aluminium_production,AUT,4,3.843548,3.843548,3.843548,3.843548,3.843548,3.843548
19,Aluminium_production,AUT,5,3.843548,3.843548,3.843548,3.843548,3.843548,3.843548
20,Aluminium_production,AUT,6,3.843548,3.843548,3.843548,3.843548,3.843548,3.843548
21,Aluminium_production,AUT,7,3.843548,3.843548,3.843548,3.843548,3.843548,3.843548
22,Aluminium_production,AUT,8,3.843548,3.843548,3.843548,3.843548,3.843548,3.843548
23,Aluminium_production,AUT,9,3.843548,3.843548,3.843548,3.843548,3.843548,3.843548
24,Aluminium_production,AUT,10,3.843548,3.843548,3.843548,3.843548,3.843548,3.843548
25,Aluminium_production,AUT,11,3.843548,3.843548,3.843548,3.843548,3.843548,3.843548
26,Aluminium_production,AUT,12,3.843548,3.843548,3.843548,3.843548,3.843548,3.843548
27,Aluminium_production,AUT,13,3.843548,3.843548,3.843548,3.843548,3.843548,3.843548
28,Aluminium_production,BRA,0,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
29,Aluminium_production,BRA,1,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
30,Aluminium_production,BRA,2,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
31,Aluminium_production,BRA,3,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
32,Aluminium_production,BRA,4,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
33,Aluminium_production,BRA,5,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
34,Aluminium_production,BRA,6,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
35,Aluminium_production,BRA,7,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
36,Aluminium_production,BRA,8,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
37,Aluminium_production,BRA,9,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
38,Aluminium_production,BRA,10,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
39,Aluminium_production,BRA,11,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
40,Aluminium_production,BRA,12,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
41,Aluminium_production,BRA,13,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
42,Aluminium_production,CHN,0,51.209508,51.209508,51.209508,51.209508,51.209508,51.209508
43,Aluminium_production,CHN,1,58.105393103332,58.105393103332,58.105393103332,58.105393103332,58.105393103332,58.105393103332
44,Aluminium_production,CHN,2,65.789294896508,65.78929489650801,65.78929489650801,65.78929489650801,65.78929489650801,65.78929489650801
45,Aluminium_production,CHN,3,74.37031908685599,74.370319086856,74.37031908685599,74.370319086856,74.370319086856,74.370319086856
46,Aluminium_production,CHN,4,83.97427366403599,83.97427366403599,83.97427366403599,83.97427366403599,83.97427366403599,83.97427366403599
47,Aluminium_production,CHN,5,94.746370640748,94.746370640748,94.746370640748,94.746370640748,94.74637064074801,94.74637064074801
48,Aluminium_production,CHN,6,106.85436049117601,106.85436049117601,106.85436049117601,106.85436049117598,106.85436049117601,106.85436049117598
49,Aluminium_production,CHN,7,120.492198103952,120.49219810395198,120.492198103952,120.49219810395196,120.49219810395198,120.49219810395196
50,Aluminium_production,CHN,8,135.88430013860003,135.88430013860003,135.88430013860003,135.88430013860003,135.8843001386,135.8843001386
51,Aluminium_production,CHN,9,153.29053602174,153.29053602174,153.29053602174,153.29053602174,153.29053602174002,153.29053602174
52,Aluminium_production,CHN,10,173.012023701192,173.01202370119196,173.012023701192,173.01202370119196,173.012023701192,173.012023701192
53,Aluminium_production,CHN,11,195.39791581375601,195.397915813756,195.39791581375601,195.397915813756,195.397915813756,195.397915813756
54,Aluminium_production,CHN,12,217.027066,220.85329754181197,220.853297541812,220.85329754181197,220.85329754181197,220.853297541812
55,Aluminium_production,CHN,13,234.9188928,249.848431222908,249.848431222908,249.848431222908,249.848431222908,249.84843122290803
56,Aluminium_production,CZE,0,0.46968,0.46968,0.46968,0.46968,0.46968,0.46968
57,Aluminium_production,CZE,1,0.46968,0.46968,0.46968,0.46968,0.46968,0.46968
58,Aluminium_production,CZE,2,0.46968,0.46968,0.46968,0.46968,0.46968,0.46968
59,Aluminium_production,CZE,3,0.46968,0.46968,0.46968,0.46968,0.46968,0.46968
60,Aluminium_production,CZE,4,0.46968,0.46968,0.46968,0.46968,0.46968,0.46968
61,Aluminium_production,CZE,5,0.46968,0.46968,0.46968,0.46968,0.46968,0.46968
62,Aluminium_production,CZE,6,0.46968,0.46968,0.46968,0.46968,0.46968,0.46968
63,Aluminium_production,CZE,7,0.46968,0.46968,0.46968,0.46968,0.46968,0.46968
64,Aluminium_production,CZE,8,0.46968,0.46968,0.46968,0.46968,0.46968,0.46968
65,Aluminium_production,CZE,9,0.46968,0.46968,0.46968,0.46968,0.46968,0.46968
