,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,0,23283234.732134353,23283234.732134353,23283234.732134353,22721316.842978075,23287108.24195577,22308608.16064866
1,1,24836359.60662428,24836359.60662428,24836359.60662428,24325476.862402327,24815173.232088313,23807033.825279
2,2,26581550.384097684,26581550.384097684,26581550.384097684,26134111.978316832,26542411.8945739,25513406.73770562
3,3,28589907.165081725,28589907.165081725,28589907.165081725,28155447.763823364,28564627.40835963,27389925.22341684
4,4,30855570.81894383,30855570.81894383,30855570.81894383,30420088.421298645,30837100.817516558,29506591.72439499
5,5,33448844.36272299,33448844.36272299,33448844.36272299,32994814.972670436,33442596.824618157,31930200.1219154
6,6,36506223.527951926,36506223.527951926,36506223.527951926,35941866.28401524,36501199.30916156,34735519.96484023
7,7,39937941.219211206,39937941.219211206,39937941.219211206,39260699.21887185,39939457.5252306,37944172.03421027
8,8,43916225.1600056,43916225.1600056,43916225.1600056,43238747.704420745,43754266.8092066,41598121.19681683
9,9,48591194.479566105,48591194.479566105,48591194.479566105,47913555.41423232,48133437.73169236,45914038.97264613
10,10,54001997.03798962,54024585.33004459,54013427.76599024,53346882.475547455,53143066.27943833,51019585.89968273
11,11,60337549.41980119,58877538.51787819,59076635.45710923,58199790.7589444,58667449.94667815,55669079.147063926
12,12,66400288.99677019,65391023.99369255,65415166.48310824,64713245.92728923,65132033.80499867,61846538.82117731
13,13,70983872.39835599,72737357.70655073,72780183.12942189,72059290.51059553,72526580.19787414,68910554.66462098
