,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,0,40597132.109973274,40597132.109973274,40597132.109973334,551350022.7352086,40596746.24268566,40215304.5721759
1,1,41472773.72800894,41472773.72800894,41472773.72800894,552277222.9505662,41497826.56195139,41001691.77134732
2,2,42434384.51908785,42434384.51908785,42434384.51908785,553302988.6992579,42500565.00051279,41868561.66759578
3,3,43700490.66534496,43700490.66534496,43700490.66534496,554582218.1312443,43814715.520292446,43109914.89492422
4,4,45498783.96058056,45498783.96058056,45498783.96058046,556380137.5981971,45657128.1684574,44786623.597130924
5,5,47776882.3508212,47776882.3508212,47776882.35082103,558639673.494323,47995069.07455504,46818745.39560165
6,6,50501644.70778275,50501644.70778275,50503405.88941836,561253769.0065832,50754961.505374506,49294867.07067937
7,7,53820188.24616028,53820188.24616028,53820188.24616012,564459782.7147667,53948793.847442165,52492393.0345595
8,8,57730487.0922384,57730487.0922384,57730487.09223824,568369829.4163405,57947639.15000827,56430236.95244642
9,9,62320894.73747805,62321547.37942845,62320063.967412665,572960720.907195,62670259.48699114,61032229.78018761
10,10,67710179.37071817,67709847.12984392,67712321.68163444,578348961.1665945,68078496.62980543,66376123.30035242
11,11,74455407.71637636,73849613.77104184,73859201.74707258,584488690.1757561,73936649.26679888,71863677.48612387
12,12,56495609812.17601,81206771.91515163,81222550.19279191,591845802.2177122,81070458.49089825,78663258.50433806
13,13,9262083001789.623,9119189565899.232,9119189575754.244,9089306049247.287,9119189453775.4,9119186688856.977
