,technology,carrier,node,time_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,Bauxite,AUS,0,240.0,240.0,240.0,240.0,240.0,240.0
1,Aluminium_production,Bauxite,AUS,1,240.0,240.0,240.0,240.0,240.0,240.0
2,Aluminium_production,Bauxite,AUS,2,240.0,240.0,240.0,240.0,240.0,240.0
3,Aluminium_production,Bauxite,AUS,3,240.0,240.0,240.0,240.0,240.0,240.0
4,Aluminium_production,Bauxite,AUS,4,240.0,240.0,240.0,240.0,240.0,240.0
5,Aluminium_production,Bauxite,AUS,5,240.0,240.0,240.0,240.0,240.0,240.0
6,Aluminium_production,Bauxite,AUS,6,240.0,240.0,240.0,240.0,240.0,240.0
7,Aluminium_production,Bauxite,AUS,7,240.0,240.0,240.0,240.0,240.0,240.0
8,Aluminium_production,Bauxite,AUS,8,240.0,240.0,240.0,240.0,240.0,240.0
9,Aluminium_production,Bauxite,AUS,9,240.0,240.0,240.0,240.0,240.0,240.0
10,Aluminium_production,Bauxite,AUS,10,240.0,240.0,240.0,240.0,240.0,240.0
11,Aluminium_production,Bauxite,AUS,11,240.0,240.0,240.0,240.0,240.0,240.0
12,Aluminium_production,Bauxite,AUS,12,240.0,240.0,240.0,240.0,240.0,240.0
13,Aluminium_production,Bauxite,AUS,13,240.0,240.0,240.0,240.0,240.0,240.0
14,Aluminium_production,Bauxite,AUT,0,78.56,78.56,78.56,78.56,78.56,78.56
15,Aluminium_production,Bauxite,AUT,1,78.56,78.56,78.56,78.56,78.56,78.56
16,Aluminium_production,Bauxite,AUT,2,78.56,78.56,78.56,78.56,78.56,78.56
17,Aluminium_production,Bauxite,AUT,3,78.56,78.56,78.56,78.56,78.56,78.56
18,Aluminium_production,Bauxite,AUT,4,78.56,78.56,78.56,78.56,78.56,78.56
19,Aluminium_production,Bauxite,AUT,5,78.56,78.56,78.56,78.56,78.56,78.56
20,Aluminium_production,Bauxite,AUT,6,78.56,78.56,78.56,78.56,78.56,78.56
21,Aluminium_production,Bauxite,AUT,7,78.56,78.56,78.56,78.56,78.56,78.56
22,Aluminium_production,Bauxite,AUT,8,78.56,78.56,78.56,78.56,78.56,78.56
23,Aluminium_production,Bauxite,AUT,9,78.56,78.56,78.56,78.56,78.56,78.56
24,Aluminium_production,Bauxite,AUT,10,78.56,78.56,78.56,78.56,78.56,78.56
25,Aluminium_production,Bauxite,AUT,11,78.56,78.56,78.56,78.56,78.56,78.56
26,Aluminium_production,Bauxite,AUT,12,78.56,78.56,78.56,78.56,78.56,78.56
27,Aluminium_production,Bauxite,AUT,13,78.56,78.56,78.56,78.56,78.56,78.56
28,Aluminium_production,Bauxite,BRA,0,129.76,129.76,129.76,129.76,129.76,129.76
29,Aluminium_production,Bauxite,BRA,1,129.76,129.76,129.76,129.76,129.76,129.76
30,Aluminium_production,Bauxite,BRA,2,129.76,129.76,129.76,129.76,129.76,129.76
31,Aluminium_production,Bauxite,BRA,3,129.76,129.76,129.76,129.76,129.76,129.76
32,Aluminium_production,Bauxite,BRA,4,129.76,129.76,129.76,129.76,129.76,129.76
33,Aluminium_production,Bauxite,BRA,5,129.76,129.76,129.76,129.76,129.76,129.76
34,Aluminium_production,Bauxite,BRA,6,129.76,129.76,129.76,129.76,129.76,129.76
35,Aluminium_production,Bauxite,BRA,7,129.76,129.76,129.76,129.76,129.76,129.76
36,Aluminium_production,Bauxite,BRA,8,129.76,129.76,129.76,129.76,129.76,129.76
37,Aluminium_production,Bauxite,BRA,9,129.76,129.76,129.76,129.76,129.76,129.76
38,Aluminium_production,Bauxite,BRA,10,129.76,129.76,129.76,129.76,129.76,129.76
39,Aluminium_production,Bauxite,BRA,11,129.76,129.76,129.76,129.76,129.76,129.76
40,Aluminium_production,Bauxite,BRA,12,129.76,129.76,129.76,129.76,129.76,129.76
41,Aluminium_production,Bauxite,BRA,13,129.76,129.76,129.76,129.76,129.76,129.76
42,Aluminium_production,Bauxite,CHN,0,1105.44,1105.44,1105.44,1105.44,1105.44,1105.44
43,Aluminium_production,Bauxite,CHN,1,1254.29882576,1254.29882576,1254.29882576,1254.29882576,1254.29882576,1254.29882576
44,Aluminium_production,Bauxite,CHN,2,1420.1682654400001,1420.1682654400001,1420.1682654400001,1420.1682654400001,1420.16826544,1420.1682654400001
45,Aluminium_production,Bauxite,CHN,3,1605.40354208,1605.40354208,1605.40354208,1605.40354208,1605.40354208,1605.4035420799999
46,Aluminium_production,Bauxite,CHN,4,1812.72042448,1812.72042448,1812.72042448,1812.72042448,1812.7204244799998,1812.72042448
47,Aluminium_production,Bauxite,CHN,5,2045.25354864,2045.25354864,2045.25354864,2045.25354864,2045.25354864,2045.2535486400002
48,Aluminium_production,Bauxite,CHN,6,2306.62407968,2306.62407968,2306.62407968,2306.62407968,2306.62407968,2306.62407968
49,Aluminium_production,Bauxite,CHN,7,2601.0188473599997,2601.0188473599997,2601.0188473599997,2601.0188473599997,2601.01884736,2601.01884736
50,Aluminium_production,Bauxite,CHN,8,2933.2822480000004,2933.282248,2933.2822480000004,2933.282248,2933.2822480000004,2933.2822480000004
51,Aluminium_production,Bauxite,CHN,9,3309.0239831999997,3309.0239832,3309.0239831999997,3309.0239832,3309.0239832,3309.0239832
52,Aluminium_production,Bauxite,CHN,10,3734.74417056,3734.7441705599995,3734.7441705599995,3734.7441705599995,3734.7441705599995,3734.7441705600004
53,Aluminium_production,Bauxite,CHN,11,4217.97983408,4217.979834080001,4217.97983408,4217.97983408,4217.979834080001,4217.979834080001
54,Aluminium_production,Bauxite,CHN,12,4684.879999999999,4767.47539216,4767.47539216,4767.47539216,4767.4753921599995,4767.47539216
55,Aluminium_production,Bauxite,CHN,13,5071.104,5393.38221744,5393.38221744,5393.38221744,5393.382217439999,5393.382217440001
56,Aluminium_production,Bauxite,CZE,0,9.6,9.6,9.6,9.6,9.6,9.6
57,Aluminium_production,Bauxite,CZE,1,9.6,9.6,9.6,9.6,9.6,9.6
58,Aluminium_production,Bauxite,CZE,2,9.6,9.6,9.6,9.6,9.6,9.6
59,Aluminium_production,Bauxite,CZE,3,9.6,9.6,9.6,9.6,9.6,9.6
60,Aluminium_production,Bauxite,CZE,4,9.6,9.6,9.6,9.6,9.6,9.6
61,Aluminium_production,Bauxite,CZE,5,9.6,9.6,9.6,9.6,9.6,9.6
62,Aluminium_production,Bauxite,CZE,6,9.6,9.6,9.6,9.6,9.6,9.6
63,Aluminium_production,Bauxite,CZE,7,9.6,9.6,9.6,9.6,9.6,9.6
64,Aluminium_production,Bauxite,CZE,8,9.6,9.6,9.6,9.6,9.6,9.6
65,Aluminium_production,Bauxite,CZE,9,9.6,9.6,9.6,9.6,9.6,9.6
66,Aluminium_production,Bauxite,CZE,10,9.6,9.6,9.6,9.6,9.6,9.6
67,Aluminium_production,Bauxite,CZE,11,9.6,9.6,9.6,9.6,9.6,9.6
68,Aluminium_production,Bauxite,CZE,12,9.6,9.6,9.6,9.6,9.6,9.6
69,Aluminium_production,Bauxite,CZE,13,9.6,9.6,9.6,9.6,9.6,9.6
70,Aluminium_production,Bauxite,DEU,0,88.0,88.0,88.0,88.0,88.0,88.0
71,Aluminium_production,Bauxite,DEU,1,88.0,88.0,88.0,88.0,88.0,88.0
72,Aluminium_production,Bauxite,DEU,2,88.0,88.0,88.0,88.0,88.0,88.0
73,Aluminium_production,Bauxite,DEU,3,88.0,88.0,88.0,88.0,88.0,88.0
74,Aluminium_production,Bauxite,DEU,4,88.0,88.0,88.0,88.0,88.0,88.0
75,Aluminium_production,Bauxite,DEU,5,88.0,88.0,88.0,88.0,88.0,88.0
76,Aluminium_production,Bauxite,DEU,6,88.0,88.0,88.0,88.0,88.0,88.0
77,Aluminium_production,Bauxite,DEU,7,88.0,88.0,88.0,88.0,88.0,88.0
78,Aluminium_production,Bauxite,DEU,8,88.0,88.0,88.0,88.0,88.0,88.0
79,Aluminium_production,Bauxite,DEU,9,88.0,88.0,88.0,88.0,88.0,88.0
80,Aluminium_production,Bauxite,DEU,10,88.0,88.0,88.0,88.0,88.0,88.0
81,Aluminium_production,Bauxite,DEU,11,88.0,88.0,88.0,88.0,88.0,88.0
82,Aluminium_production,Bauxite,DEU,12,88.0,88.0,88.0,88.0,88.0,88.0
83,Aluminium_production,Bauxite,DEU,13,88.0,88.0,88.0,88.0,88.0,88.0
84,Aluminium_production,Bauxite,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
85,Aluminium_production,Bauxite,ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
86,Aluminium_production,Bauxite,ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
87,Aluminium_production,Bauxite,ITA,3,0.0,0.0,0.0,0.0,0.0,0.0
