,technology,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,0,inf,inf,inf,inf,inf,inf
1,Aluminium_production,1,inf,inf,inf,inf,inf,inf
2,Aluminium_production,2,inf,inf,inf,inf,inf,inf
3,Aluminium_production,3,inf,inf,inf,inf,inf,inf
4,Aluminium_production,4,inf,inf,inf,inf,inf,inf
5,Aluminium_production,5,inf,inf,inf,inf,inf,inf
6,Aluminium_production,6,inf,inf,inf,inf,inf,inf
7,Aluminium_production,7,inf,inf,inf,inf,inf,inf
8,Aluminium_production,8,inf,inf,inf,inf,inf,inf
9,Aluminium_production,9,inf,inf,inf,inf,inf,inf
10,Aluminium_production,10,inf,inf,inf,inf,inf,inf
11,Aluminium_production,11,inf,inf,inf,inf,inf,inf
12,Aluminium_production,12,inf,inf,inf,inf,inf,inf
13,Aluminium_production,13,inf,inf,inf,inf,inf,inf
14,Bauxite_mining,0,inf,inf,inf,inf,inf,inf
15,Bauxite_mining,1,inf,inf,inf,inf,inf,inf
16,Bauxite_mining,2,inf,inf,inf,inf,inf,inf
17,Bauxite_mining,3,inf,inf,inf,inf,inf,inf
18,Bauxite_mining,4,inf,inf,inf,inf,inf,inf
19,Bauxite_mining,5,inf,inf,inf,inf,inf,inf
20,Bauxite_mining,6,inf,inf,inf,inf,inf,inf
21,Bauxite_mining,7,inf,inf,inf,inf,inf,inf
22,Bauxite_mining,8,inf,inf,inf,inf,inf,inf
23,Bauxite_mining,9,inf,inf,inf,inf,inf,inf
24,Bauxite_mining,10,inf,inf,inf,inf,inf,inf
25,Bauxite_mining,11,inf,inf,inf,inf,inf,inf
26,Bauxite_mining,12,inf,inf,inf,inf,inf,inf
27,Bauxite_mining,13,inf,inf,inf,inf,inf,inf
28,Compressor_manufacturing,0,inf,inf,0.3,inf,inf,inf
29,Compressor_manufacturing,1,inf,inf,0.3,inf,inf,inf
30,Compressor_manufacturing,2,inf,inf,0.3,inf,inf,inf
31,Compressor_manufacturing,3,inf,inf,0.3,inf,inf,inf
32,Compressor_manufacturing,4,inf,inf,0.3,inf,inf,inf
33,Compressor_manufacturing,5,inf,inf,0.3,inf,inf,inf
34,Compressor_manufacturing,6,inf,inf,0.3,inf,inf,inf
35,Compressor_manufacturing,7,inf,inf,0.3,inf,inf,inf
36,Compressor_manufacturing,8,inf,inf,0.3,inf,inf,inf
37,Compressor_manufacturing,9,inf,inf,0.3,inf,inf,inf
38,Compressor_manufacturing,10,inf,inf,0.3,inf,inf,inf
39,Compressor_manufacturing,11,inf,inf,0.3,inf,inf,inf
