,technology,capacity_type,location,time_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,power,AUS,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,Aluminium_production,power,AUS,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
2,Aluminium_production,power,AUS,2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
3,Aluminium_production,power,AUS,3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
4,Aluminium_production,power,AUS,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
5,Aluminium_production,power,AUS,5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
6,Aluminium_production,power,AUS,6,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
7,Aluminium_production,power,AUS,7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
8,Aluminium_production,power,AUS,8,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
9,Aluminium_production,power,AUS,9,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
10,Aluminium_production,power,AUS,10,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
11,Aluminium_production,power,AUS,11,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
12,Aluminium_production,power,AUS,12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
13,Aluminium_production,power,AUS,13,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
14,Aluminium_production,power,AUT,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
15,Aluminium_production,power,AUT,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
16,Aluminium_production,power,AUT,2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
17,Aluminium_production,power,AUT,3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
18,Aluminium_production,power,AUT,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
19,Aluminium_production,power,AUT,5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
20,Aluminium_production,power,AUT,6,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
21,Aluminium_production,power,AUT,7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
22,Aluminium_production,power,AUT,8,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
23,Aluminium_production,power,AUT,9,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
24,Aluminium_production,power,AUT,10,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
25,Aluminium_production,power,AUT,11,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
26,Aluminium_production,power,AUT,12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
27,Aluminium_production,power,AUT,13,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
28,Aluminium_production,power,BRA,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
29,Aluminium_production,power,BRA,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
30,Aluminium_production,power,BRA,2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
31,Aluminium_production,power,BRA,3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
32,Aluminium_production,power,BRA,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
33,Aluminium_production,power,BRA,5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
34,Aluminium_production,power,BRA,6,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
35,Aluminium_production,power,BRA,7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
36,Aluminium_production,power,BRA,8,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
37,Aluminium_production,power,BRA,9,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
38,Aluminium_production,power,BRA,10,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
39,Aluminium_production,power,BRA,11,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
40,Aluminium_production,power,BRA,12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
41,Aluminium_production,power,BRA,13,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
42,Aluminium_production,power,CHN,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
43,Aluminium_production,power,CHN,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
44,Aluminium_production,power,CHN,2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
45,Aluminium_production,power,CHN,3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
46,Aluminium_production,power,CHN,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
47,Aluminium_production,power,CHN,5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
48,Aluminium_production,power,CHN,6,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
49,Aluminium_production,power,CHN,7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
50,Aluminium_production,power,CHN,8,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
51,Aluminium_production,power,CHN,9,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
52,Aluminium_production,power,CHN,10,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
53,Aluminium_production,power,CHN,11,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
54,Aluminium_production,power,CHN,12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
55,Aluminium_production,power,CHN,13,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
56,Aluminium_production,power,CZE,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
57,Aluminium_production,power,CZE,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
58,Aluminium_production,power,CZE,2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
59,Aluminium_production,power,CZE,3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
60,Aluminium_production,power,CZE,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
61,Aluminium_production,power,CZE,5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
62,Aluminium_production,power,CZE,6,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
63,Aluminium_production,power,CZE,7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
64,Aluminium_production,power,CZE,8,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
65,Aluminium_production,power,CZE,9,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
66,Aluminium_production,power,CZE,10,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
67,Aluminium_production,power,CZE,11,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
68,Aluminium_production,power,CZE,12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
69,Aluminium_production,power,CZE,13,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
70,Aluminium_production,power,DEU,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
71,Aluminium_production,power,DEU,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
72,Aluminium_production,power,DEU,2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
73,Aluminium_production,power,DEU,3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
74,Aluminium_production,power,DEU,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
75,Aluminium_production,power,DEU,5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
76,Aluminium_production,power,DEU,6,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
77,Aluminium_production,power,DEU,7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
78,Aluminium_production,power,DEU,8,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
79,Aluminium_production,power,DEU,9,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
80,Aluminium_production,power,DEU,10,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
81,Aluminium_production,power,DEU,11,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
82,Aluminium_production,power,DEU,12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
83,Aluminium_production,power,DEU,13,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
84,Aluminium_production,power,ITA,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
85,Aluminium_production,power,ITA,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
86,Aluminium_production,power,ITA,2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
87,Aluminium_production,power,ITA,3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
88,Aluminium_production,power,ITA,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
89,Aluminium_production,power,ITA,5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
90,Aluminium_production,power,ITA,6,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
91,Aluminium_production,power,ITA,7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
92,Aluminium_production,power,ITA,8,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
93,Aluminium_production,power,ITA,9,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
94,Aluminium_production,power,ITA,10,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
95,Aluminium_production,power,ITA,11,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
96,Aluminium_production,power,ITA,12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
97,Aluminium_production,power,ITA,13,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
98,Aluminium_production,power,JPN,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
99,Aluminium_production,power,JPN,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
100,Aluminium_production,power,JPN,2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
101,Aluminium_production,power,JPN,3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
102,Aluminium_production,power,JPN,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
103,Aluminium_production,power,JPN,5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
104,Aluminium_production,power,JPN,6,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
105,Aluminium_production,power,JPN,7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
106,Aluminium_production,power,JPN,8,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
107,Aluminium_production,power,JPN,9,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
108,Aluminium_production,power,JPN,10,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
109,Aluminium_production,power,JPN,11,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
110,Aluminium_production,power,JPN,12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
111,Aluminium_production,power,JPN,13,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
112,Aluminium_production,power,KOR,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
113,Aluminium_production,power,KOR,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
114,Aluminium_production,power,KOR,2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
115,Aluminium_production,power,KOR,3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
116,Aluminium_production,power,KOR,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
117,Aluminium_production,power,KOR,5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
118,Aluminium_production,power,KOR,6,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
119,Aluminium_production,power,KOR,7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
120,Aluminium_production,power,KOR,8,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
121,Aluminium_production,power,KOR,9,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
122,Aluminium_production,power,KOR,10,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
123,Aluminium_production,power,KOR,11,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
124,Aluminium_production,power,KOR,12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
125,Aluminium_production,power,KOR,13,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
126,Aluminium_production,power,ROE,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
127,Aluminium_production,power,ROE,1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
128,Aluminium_production,power,ROE,2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
129,Aluminium_production,power,ROE,3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
130,Aluminium_production,power,ROE,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
131,Aluminium_production,power,ROE,5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
132,Aluminium_production,power,ROE,6,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
133,Aluminium_production,power,ROE,7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
134,Aluminium_production,power,ROE,8,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
135,Aluminium_production,power,ROE,9,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
136,Aluminium_production,power,ROE,10,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
137,Aluminium_production,power,ROE,11,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
138,Aluminium_production,power,ROE,12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
139,Aluminium_production,power,ROE,13,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
