,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,0,40597132.109973274,40597132.109973274,40597132.109973334,551350022.7352086,40596746.24268566,40215304.5721759
1,1,39125258.23396678,39125258.23396678,39125258.23396678,521016248.06651974,39148892.9829691,38680841.29372002
2,2,37766451.15621582,37766451.15621582,37766451.15621582,492437690.19199926,37825351.549082495,37262870.83270874
3,3,36691774.6406054,36691774.6406054,36691774.6406054,465637924.36992884,36787680.031420894,36195915.83566837
4,4,36039298.46018786,36039298.46018786,36039298.460187785,440705181.34274024,36164721.90385747,35475200.74909049
5,5,35701665.81066071,35701665.81066071,35701665.810660586,417448061.70526797,35864707.62318146,34985690.14014892
6,6,35601666.746307395,35601666.746307395,35602908.30986505,395661760.3228678,35780245.09284021,34750936.13106409
7,7,35793499.04961096,35793499.04961096,35793499.049610846,375397993.84826624,35879029.11959517,34910439.398701966
8,8,36220821.80529888,36220821.80529888,36220821.80529878,356602262.4736384,36357065.692806184,35405028.781753585
9,9,36887641.840928115,36888028.13869579,36887150.10940287,339134570.36800987,37094430.29937646,36124883.03270295
10,10,37809010.5045868,37808824.983017944,37810206.75981298,322947039.1496425,38014676.93830878,37064080.56278282
11,11,39222179.98299955,38903055.28963902,38908106.115805775,307901350.71759015,38948904.50307018,37856888.82851991
12,12,28076587253.279877,40357277.756856106,40365119.077453345,294129231.6641514,40289534.16115783,39093229.515833244
13,13,4342425938487.9263,4275431919720.204,4275431924340.618,4261421360991.939,4275431867152.1763,4275430570850.526
