,technology,location,time_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,AUS,0,0.1843,0.1843,0.1843,0.1843,0.1843,0.1843
1,Aluminium_production,AUS,1,0.1843,0.1843,0.1843,0.1843,0.1843,0.1843
2,Aluminium_production,AUS,2,0.1843,0.1843,0.1843,0.1843,0.1843,0.1843
3,Aluminium_production,AUS,3,0.1843,0.1843,0.1843,0.1843,0.1843,0.1843
4,Aluminium_production,AUS,4,0.1843,0.1843,0.1843,0.1843,0.1843,0.1843
5,Aluminium_production,AUS,5,0.1843,0.1843,0.1843,0.1843,0.1843,0.1843
6,Aluminium_production,AUS,6,0.1843,0.1843,0.1843,0.1843,0.1843,0.1843
7,Aluminium_production,AUS,7,0.1843,0.1843,0.1843,0.1843,0.1843,0.1843
8,Aluminium_production,AUS,8,0.1843,0.1843,0.1843,0.1843,0.1843,0.1843
9,Aluminium_production,AUS,9,0.1843,0.1843,0.1843,0.1843,0.1843,0.1843
10,Aluminium_production,AUS,10,0.1843,0.1843,0.1843,0.1843,0.1843,0.1843
11,Aluminium_production,AUS,11,0.1843,0.1843,0.1843,0.1843,0.1843,0.1843
12,Aluminium_production,AUS,12,0.1843,0.1843,0.1843,0.1843,0.1843,0.1843
13,Aluminium_production,AUS,13,0.1843,0.1843,0.1843,0.1843,0.1843,0.1843
14,Aluminium_production,AUT,0,0.1957,0.1957,0.1957,0.1957,0.1957,0.1957
15,Aluminium_production,AUT,1,0.1957,0.1957,0.1957,0.1957,0.1957,0.1957
16,Aluminium_production,AUT,2,0.1957,0.1957,0.1957,0.1957,0.1957,0.1957
17,Aluminium_production,AUT,3,0.1957,0.1957,0.1957,0.1957,0.1957,0.1957
18,Aluminium_production,AUT,4,0.1957,0.1957,0.1957,0.1957,0.1957,0.1957
19,Aluminium_production,AUT,5,0.1957,0.1957,0.1957,0.1957,0.1957,0.1957
20,Aluminium_production,AUT,6,0.1957,0.1957,0.1957,0.1957,0.1957,0.1957
21,Aluminium_production,AUT,7,0.1957,0.1957,0.1957,0.1957,0.1957,0.1957
22,Aluminium_production,AUT,8,0.1957,0.1957,0.1957,0.1957,0.1957,0.1957
23,Aluminium_production,AUT,9,0.1957,0.1957,0.1957,0.1957,0.1957,0.1957
24,Aluminium_production,AUT,10,0.1957,0.1957,0.1957,0.1957,0.1957,0.1957
25,Aluminium_production,AUT,11,0.1957,0.1957,0.1957,0.1957,0.1957,0.1957
26,Aluminium_production,AUT,12,0.1957,0.1957,0.1957,0.1957,0.1957,0.1957
27,Aluminium_production,AUT,13,0.1957,0.1957,0.1957,0.1957,0.1957,0.1957
28,Aluminium_production,BRA,0,0.1903,0.1903,0.1903,0.1903,0.1903,0.1903
29,Aluminium_production,BRA,1,0.1903,0.1903,0.1903,0.1903,0.1903,0.1903
30,Aluminium_production,BRA,2,0.1903,0.1903,0.1903,0.1903,0.1903,0.1903
31,Aluminium_production,BRA,3,0.1903,0.1903,0.1903,0.1903,0.1903,0.1903
32,Aluminium_production,BRA,4,0.1903,0.1903,0.1903,0.1903,0.1903,0.1903
33,Aluminium_production,BRA,5,0.1903,0.1903,0.1903,0.1903,0.1903,0.1903
34,Aluminium_production,BRA,6,0.1903,0.1903,0.1903,0.1903,0.1903,0.1903
35,Aluminium_production,BRA,7,0.1903,0.1903,0.1903,0.1903,0.1903,0.1903
36,Aluminium_production,BRA,8,0.1903,0.1903,0.1903,0.1903,0.1903,0.1903
37,Aluminium_production,BRA,9,0.1903,0.1903,0.1903,0.1903,0.1903,0.1903
38,Aluminium_production,BRA,10,0.1903,0.1903,0.1903,0.1903,0.1903,0.1903
39,Aluminium_production,BRA,11,0.1903,0.1903,0.1903,0.1903,0.1903,0.1903
40,Aluminium_production,BRA,12,0.1903,0.1903,0.1903,0.1903,0.1903,0.1903
41,Aluminium_production,BRA,13,0.1903,0.1903,0.1903,0.1903,0.1903,0.1903
42,Aluminium_production,CHN,0,0.1853,0.1853,0.1853,0.1853,0.1853,0.1853
43,Aluminium_production,CHN,1,0.1853,0.1853,0.1853,0.1853,0.1853,0.1853
44,Aluminium_production,CHN,2,0.1853,0.1853,0.1853,0.1853,0.1853,0.1853
45,Aluminium_production,CHN,3,0.1853,0.1853,0.1853,0.1853,0.1853,0.1853
46,Aluminium_production,CHN,4,0.1853,0.1853,0.1853,0.1853,0.1853,0.1853
47,Aluminium_production,CHN,5,0.1853,0.1853,0.1853,0.1853,0.1853,0.1853
48,Aluminium_production,CHN,6,0.1853,0.1853,0.1853,0.1853,0.1853,0.1853
49,Aluminium_production,CHN,7,0.1853,0.1853,0.1853,0.1853,0.1853,0.1853
50,Aluminium_production,CHN,8,0.1853,0.1853,0.1853,0.1853,0.1853,0.1853
51,Aluminium_production,CHN,9,0.1853,0.1853,0.1853,0.1853,0.1853,0.1853
52,Aluminium_production,CHN,10,0.1853,0.1853,0.1853,0.1853,0.1853,0.1853
53,Aluminium_production,CHN,11,0.1853,0.1853,0.1853,0.1853,0.1853,0.1853
