,technology,node,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_storage,AUS,0.0,0.0,0.0,0.0,0.0,0.0
1,Aluminium_storage,AUT,0.0,0.0,0.0,0.0,0.0,0.0
2,Aluminium_storage,BRA,0.0,0.0,0.0,0.0,0.0,0.0
3,Aluminium_storage,CHN,0.0,0.0,0.0,0.0,0.0,0.0
4,Aluminium_storage,CZE,0.0,0.0,0.0,0.0,0.0,0.0
5,Aluminium_storage,DEU,0.0,0.0,0.0,0.0,0.0,0.0
6,Aluminium_storage,ITA,0.0,0.0,0.0,0.0,0.0,0.0
7,Aluminium_storage,JPN,0.0,0.0,0.0,0.0,0.0,0.0
8,Aluminium_storage,KOR,0.0,0.0,0.0,0.0,0.0,0.0
9,Aluminium_storage,ROE,0.0,0.0,0.0,0.0,0.0,0.0
10,Aluminium_storage,ROW,0.0,0.0,0.0,0.0,0.0,0.0
11,Aluminium_storage,USA,0.0,0.0,0.0,0.0,0.0,0.0
12,Bauxite_storage,AUS,0.0,0.0,0.0,0.0,0.0,0.0
13,Bauxite_storage,AUT,0.0,0.0,0.0,0.0,0.0,0.0
14,Bauxite_storage,BRA,0.0,0.0,0.0,0.0,0.0,0.0
15,Bauxite_storage,CHN,0.0,0.0,0.0,0.0,0.0,0.0
16,Bauxite_storage,CZE,0.0,0.0,0.0,0.0,0.0,0.0
17,Bauxite_storage,DEU,0.0,0.0,0.0,0.0,0.0,0.0
18,Bauxite_storage,ITA,0.0,0.0,0.0,0.0,0.0,0.0
19,Bauxite_storage,JPN,0.0,0.0,0.0,0.0,0.0,0.0
20,Bauxite_storage,KOR,0.0,0.0,0.0,0.0,0.0,0.0
21,Bauxite_storage,ROE,0.0,0.0,0.0,0.0,0.0,0.0
22,Bauxite_storage,ROW,0.0,0.0,0.0,0.0,0.0,0.0
23,Bauxite_storage,USA,0.0,0.0,0.0,0.0,0.0,0.0
24,Compressor_storage,AUS,0.0,0.0,0.0,0.0,0.0,0.0
25,Compressor_storage,AUT,0.0,0.0,0.0,0.0,0.0,0.0
26,Compressor_storage,BRA,0.0,0.0,0.0,0.0,0.0,0.0
27,Compressor_storage,CHN,0.0,0.0,0.0,0.0,0.0,0.0
28,Compressor_storage,CZE,0.0,0.0,0.0,0.0,0.0,0.0
29,Compressor_storage,DEU,0.0,0.0,0.0,0.0,0.0,0.0
30,Compressor_storage,ITA,0.0,0.0,0.0,0.0,0.0,0.0
31,Compressor_storage,JPN,0.0,0.0,0.0,0.0,0.0,0.0
32,Compressor_storage,KOR,0.0,0.0,0.0,0.0,0.0,0.0
33,Compressor_storage,ROE,0.0,0.0,0.0,0.0,0.0,0.0
34,Compressor_storage,ROW,0.0,0.0,0.0,0.0,0.0,0.0
35,Compressor_storage,USA,0.0,0.0,0.0,0.0,0.0,0.0
36,Copper_storage,AUS,0.0,0.0,0.0,0.0,0.0,0.0
37,Copper_storage,AUT,0.0,0.0,0.0,0.0,0.0,0.0
38,Copper_storage,BRA,0.0,0.0,0.0,0.0,0.0,0.0
39,Copper_storage,CHN,0.0,0.0,0.0,0.0,0.0,0.0
40,Copper_storage,CZE,0.0,0.0,0.0,0.0,0.0,0.0
41,Copper_storage,DEU,0.0,0.0,0.0,0.0,0.0,0.0
42,Copper_storage,ITA,0.0,0.0,0.0,0.0,0.0,0.0
43,Copper_storage,JPN,0.0,0.0,0.0,0.0,0.0,0.0
44,Copper_storage,KOR,0.0,0.0,0.0,0.0,0.0,0.0
45,Copper_storage,ROE,0.0,0.0,0.0,0.0,0.0,0.0
46,Copper_storage,ROW,0.0,0.0,0.0,0.0,0.0,0.0
47,Copper_storage,USA,0.0,0.0,0.0,0.0,0.0,0.0
48,HEX_storage,AUS,0.0,0.0,0.0,0.0,0.0,0.0
49,HEX_storage,AUT,0.0,0.0,0.0,0.0,0.0,0.0
50,HEX_storage,BRA,0.0,0.0,0.0,0.0,0.0,0.0
51,HEX_storage,CHN,0.0,0.0,0.0,0.0,0.0,0.0
52,HEX_storage,CZE,0.0,0.0,0.0,0.0,0.0,0.0
53,HEX_storage,DEU,0.0,0.0,0.0,0.0,0.0,0.0
54,HEX_storage,ITA,0.0,0.0,0.0,0.0,0.0,0.0
55,HEX_storage,JPN,0.0,0.0,0.0,0.0,0.0,0.0
56,HEX_storage,KOR,0.0,0.0,0.0,0.0,0.0,0.0
57,HEX_storage,ROE,0.0,0.0,0.0,0.0,0.0,0.0
58,HEX_storage,ROW,0.0,0.0,0.0,0.0,0.0,0.0
59,HEX_storage,USA,0.0,0.0,0.0,0.0,0.0,0.0
60,HP_storage,AUS,0.0,0.0,0.0,0.0,0.0,0.0
61,HP_storage,AUT,0.0,0.0,0.0,0.0,0.0,0.0
62,HP_storage,BRA,0.0,0.0,0.0,0.0,0.0,0.0
63,HP_storage,CHN,0.0,0.0,0.0,0.0,0.0,0.0
64,HP_storage,CZE,0.0,0.0,0.0,0.0,0.0,0.0
65,HP_storage,DEU,0.0,0.0,0.0,0.0,0.0,0.0
66,HP_storage,ITA,0.0,0.0,0.0,0.0,0.0,0.0
67,HP_storage,JPN,0.0,0.0,0.0,0.0,0.0,0.0
68,HP_storage,KOR,0.0,0.0,0.0,0.0,0.0,0.0
69,HP_storage,ROE,0.0,0.0,0.0,0.0,0.0,0.0
70,HP_storage,ROW,0.0,0.0,0.0,0.0,0.0,0.0
71,HP_storage,USA,0.0,0.0,0.0,0.0,0.0,0.0
72,Iron_storage,AUS,0.0,0.0,0.0,0.0,0.0,0.0
73,Iron_storage,AUT,0.0,0.0,0.0,0.0,0.0,0.0
74,Iron_storage,BRA,0.0,0.0,0.0,0.0,0.0,0.0
75,Iron_storage,CHN,0.0,0.0,0.0,0.0,0.0,0.0
76,Iron_storage,CZE,0.0,0.0,0.0,0.0,0.0,0.0
77,Iron_storage,DEU,0.0,0.0,0.0,0.0,0.0,0.0
78,Iron_storage,ITA,0.0,0.0,0.0,0.0,0.0,0.0
79,Iron_storage,JPN,0.0,0.0,0.0,0.0,0.0,0.0
80,Iron_storage,KOR,0.0,0.0,0.0,0.0,0.0,0.0
81,Iron_storage,ROE,0.0,0.0,0.0,0.0,0.0,0.0
82,Iron_storage,ROW,0.0,0.0,0.0,0.0,0.0,0.0
83,Iron_storage,USA,0.0,0.0,0.0,0.0,0.0,0.0
84,Nickel_storage,AUS,0.0,0.0,0.0,0.0,0.0,0.0
85,Nickel_storage,AUT,0.0,0.0,0.0,0.0,0.0,0.0
86,Nickel_storage,BRA,0.0,0.0,0.0,0.0,0.0,0.0
87,Nickel_storage,CHN,0.0,0.0,0.0,0.0,0.0,0.0
88,Nickel_storage,CZE,0.0,0.0,0.0,0.0,0.0,0.0
89,Nickel_storage,DEU,0.0,0.0,0.0,0.0,0.0,0.0
90,Nickel_storage,ITA,0.0,0.0,0.0,0.0,0.0,0.0
91,Nickel_storage,JPN,0.0,0.0,0.0,0.0,0.0,0.0
92,Nickel_storage,KOR,0.0,0.0,0.0,0.0,0.0,0.0
93,Nickel_storage,ROE,0.0,0.0,0.0,0.0,0.0,0.0
94,Nickel_storage,ROW,0.0,0.0,0.0,0.0,0.0,0.0
95,Nickel_storage,USA,0.0,0.0,0.0,0.0,0.0,0.0
96,Steel_storage,AUS,0.0,0.0,0.0,0.0,0.0,0.0
97,Steel_storage,AUT,0.0,0.0,0.0,0.0,0.0,0.0
98,Steel_storage,BRA,0.0,0.0,0.0,0.0,0.0,0.0
99,Steel_storage,CHN,0.0,0.0,0.0,0.0,0.0,0.0
100,Steel_storage,CZE,0.0,0.0,0.0,0.0,0.0,0.0
101,Steel_storage,DEU,0.0,0.0,0.0,0.0,0.0,0.0
102,Steel_storage,ITA,0.0,0.0,0.0,0.0,0.0,0.0
103,Steel_storage,JPN,0.0,0.0,0.0,0.0,0.0,0.0
104,Steel_storage,KOR,0.0,0.0,0.0,0.0,0.0,0.0
105,Steel_storage,ROE,0.0,0.0,0.0,0.0,0.0,0.0
106,Steel_storage,ROW,0.0,0.0,0.0,0.0,0.0,0.0
107,Steel_storage,USA,0.0,0.0,0.0,0.0,0.0,0.0
