,technology,node,time_storage_level,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_storage,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
1,Aluminium_storage,AUS,1,0.0,0.0,0.0,0.0,0.0,0.0
2,Aluminium_storage,AUS,2,0.0,0.0,0.0,0.0,0.0,0.0
3,Aluminium_storage,AUS,3,0.0,0.0,0.0,0.0,0.0,0.0
4,Aluminium_storage,AUS,4,0.0,0.0,0.0,0.0,0.0,0.0
5,Aluminium_storage,AUS,5,0.0,0.0,0.0,0.0,0.0,0.0
6,Aluminium_storage,AUS,6,0.0,0.0,0.0,0.0,0.0,0.0
7,Aluminium_storage,AUS,7,0.0,0.0,0.0,0.0,0.0,0.0
8,Aluminium_storage,AUS,8,0.0,0.0,0.0,0.0,0.0,0.0
9,Aluminium_storage,AUS,9,0.0,0.0,0.0,0.0,0.0,0.0
10,Aluminium_storage,AUS,10,0.0,0.0,0.0,0.0,0.0,0.0
11,Aluminium_storage,AUS,11,0.0,0.0,0.0,0.0,0.0,0.0
12,Aluminium_storage,AUS,12,0.0,0.0,0.0,0.0,0.0,0.0
13,Aluminium_storage,AUS,13,0.0,0.0,0.0,0.0,0.0,0.0
14,Aluminium_storage,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
15,Aluminium_storage,AUT,1,0.0,0.0,0.0,0.0,0.0,0.0
16,Aluminium_storage,AUT,2,0.0,0.0,0.0,0.0,0.0,0.0
17,Aluminium_storage,AUT,3,0.0,0.0,0.0,0.0,0.0,0.0
18,Aluminium_storage,AUT,4,0.0,0.0,0.0,0.0,0.0,0.0
19,Aluminium_storage,AUT,5,0.0,0.0,0.0,0.0,0.0,0.0
20,Aluminium_storage,AUT,6,0.0,0.0,0.0,0.0,0.0,0.0
21,Aluminium_storage,AUT,7,0.0,0.0,0.0,0.0,0.0,0.0
22,Aluminium_storage,AUT,8,0.0,0.0,0.0,0.0,0.0,0.0
23,Aluminium_storage,AUT,9,0.0,0.0,0.0,0.0,0.0,0.0
24,Aluminium_storage,AUT,10,0.0,0.0,0.0,0.0,0.0,0.0
25,Aluminium_storage,AUT,11,0.0,0.0,0.0,0.0,0.0,0.0
