,on_off_technologies,on_off_capacity_types,on_off_locations,on_off_time_steps_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,power,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
1,Aluminium_production,power,AUS,1,0.0,0.0,0.0,0.0,0.0,0.0
2,Aluminium_production,power,AUS,2,0.0,0.0,0.0,0.0,0.0,0.0
3,Aluminium_production,power,AUS,3,0.0,0.0,0.0,0.0,0.0,0.0
4,Aluminium_production,power,AUS,4,0.0,0.0,0.0,0.0,0.0,0.0
5,Aluminium_production,power,AUS,5,0.0,0.0,0.0,0.0,0.0,0.0
6,Aluminium_production,power,AUS,6,0.0,0.0,0.0,0.0,0.0,0.0
7,Aluminium_production,power,AUS,7,0.0,0.0,0.0,0.0,0.0,0.0
8,Aluminium_production,power,AUS,8,0.0,0.0,0.0,0.0,0.0,0.0
9,Aluminium_production,power,AUS,9,0.0,0.0,0.0,0.0,0.0,0.0
10,Aluminium_production,power,AUS,10,0.0,0.0,0.0,0.0,0.0,0.0
11,Aluminium_production,power,AUS,11,0.0,0.0,0.0,0.0,0.0,0.0
12,Aluminium_production,power,AUS,12,0.0,0.0,0.0,0.0,0.0,0.0
13,Aluminium_production,power,AUS,13,0.0,0.0,0.0,0.0,0.0,0.0
14,Aluminium_production,power,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
15,Aluminium_production,power,AUT,1,0.0,0.0,0.0,0.0,0.0,0.0
16,Aluminium_production,power,AUT,2,0.0,0.0,0.0,0.0,0.0,0.0
17,Aluminium_production,power,AUT,3,0.0,0.0,0.0,0.0,0.0,0.0
18,Aluminium_production,power,AUT,4,0.0,0.0,0.0,0.0,0.0,0.0
19,Aluminium_production,power,AUT,5,0.0,0.0,0.0,0.0,0.0,0.0
20,Aluminium_production,power,AUT,6,0.0,0.0,0.0,0.0,0.0,0.0
21,Aluminium_production,power,AUT,7,0.0,0.0,0.0,0.0,0.0,0.0
22,Aluminium_production,power,AUT,8,0.0,0.0,0.0,0.0,0.0,0.0
23,Aluminium_production,power,AUT,9,0.0,0.0,0.0,0.0,0.0,0.0
24,Aluminium_production,power,AUT,10,0.0,0.0,0.0,0.0,0.0,0.0
25,Aluminium_production,power,AUT,11,0.0,0.0,0.0,0.0,0.0,0.0
26,Aluminium_production,power,AUT,12,0.0,0.0,0.0,0.0,0.0,0.0
27,Aluminium_production,power,AUT,13,0.0,0.0,0.0,0.0,0.0,0.0
28,Aluminium_production,power,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
29,Aluminium_production,power,BRA,1,0.0,0.0,0.0,0.0,0.0,0.0
30,Aluminium_production,power,BRA,2,0.0,0.0,0.0,0.0,0.0,0.0
31,Aluminium_production,power,BRA,3,0.0,0.0,0.0,0.0,0.0,0.0
32,Aluminium_production,power,BRA,4,0.0,0.0,0.0,0.0,0.0,0.0
33,Aluminium_production,power,BRA,5,0.0,0.0,0.0,0.0,0.0,0.0
34,Aluminium_production,power,BRA,6,0.0,0.0,0.0,0.0,0.0,0.0
35,Aluminium_production,power,BRA,7,0.0,0.0,0.0,0.0,0.0,0.0
36,Aluminium_production,power,BRA,8,0.0,0.0,0.0,0.0,0.0,0.0
37,Aluminium_production,power,BRA,9,0.0,0.0,0.0,0.0,0.0,0.0
38,Aluminium_production,power,BRA,10,0.0,0.0,0.0,0.0,0.0,0.0
39,Aluminium_production,power,BRA,11,0.0,0.0,0.0,0.0,0.0,0.0
40,Aluminium_production,power,BRA,12,0.0,0.0,0.0,0.0,0.0,0.0
41,Aluminium_production,power,BRA,13,0.0,0.0,0.0,0.0,0.0,0.0
42,Aluminium_production,power,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
43,Aluminium_production,power,CHN,1,0.0,0.0,0.0,0.0,0.0,0.0
44,Aluminium_production,power,CHN,2,0.0,0.0,0.0,0.0,0.0,0.0
45,Aluminium_production,power,CHN,3,0.0,0.0,0.0,0.0,0.0,0.0
46,Aluminium_production,power,CHN,4,0.0,0.0,0.0,0.0,0.0,0.0
47,Aluminium_production,power,CHN,5,0.0,0.0,0.0,0.0,0.0,0.0
48,Aluminium_production,power,CHN,6,0.0,0.0,0.0,0.0,0.0,0.0
49,Aluminium_production,power,CHN,7,0.0,0.0,0.0,0.0,0.0,0.0
50,Aluminium_production,power,CHN,8,0.0,0.0,0.0,0.0,0.0,0.0
51,Aluminium_production,power,CHN,9,0.0,0.0,0.0,0.0,0.0,0.0
52,Aluminium_production,power,CHN,10,0.0,0.0,0.0,0.0,0.0,0.0
53,Aluminium_production,power,CHN,11,0.0,0.0,0.0,0.0,0.0,0.0
54,Aluminium_production,power,CHN,12,0.0,0.0,0.0,0.0,0.0,0.0
55,Aluminium_production,power,CHN,13,0.0,0.0,0.0,0.0,0.0,0.0
56,Aluminium_production,power,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
57,Aluminium_production,power,CZE,1,0.0,0.0,0.0,0.0,0.0,0.0
58,Aluminium_production,power,CZE,2,0.0,0.0,0.0,0.0,0.0,0.0
59,Aluminium_production,power,CZE,3,0.0,0.0,0.0,0.0,0.0,0.0
60,Aluminium_production,power,CZE,4,0.0,0.0,0.0,0.0,0.0,0.0
61,Aluminium_production,power,CZE,5,0.0,0.0,0.0,0.0,0.0,0.0
62,Aluminium_production,power,CZE,6,0.0,0.0,0.0,0.0,0.0,0.0
63,Aluminium_production,power,CZE,7,0.0,0.0,0.0,0.0,0.0,0.0
64,Aluminium_production,power,CZE,8,0.0,0.0,0.0,0.0,0.0,0.0
65,Aluminium_production,power,CZE,9,0.0,0.0,0.0,0.0,0.0,0.0
66,Aluminium_production,power,CZE,10,0.0,0.0,0.0,0.0,0.0,0.0
67,Aluminium_production,power,CZE,11,0.0,0.0,0.0,0.0,0.0,0.0
68,Aluminium_production,power,CZE,12,0.0,0.0,0.0,0.0,0.0,0.0
69,Aluminium_production,power,CZE,13,0.0,0.0,0.0,0.0,0.0,0.0
70,Aluminium_production,power,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
71,Aluminium_production,power,DEU,1,0.0,0.0,0.0,0.0,0.0,0.0
72,Aluminium_production,power,DEU,2,0.0,0.0,0.0,0.0,0.0,0.0
73,Aluminium_production,power,DEU,3,0.0,0.0,0.0,0.0,0.0,0.0
74,Aluminium_production,power,DEU,4,0.0,0.0,0.0,0.0,0.0,0.0
75,Aluminium_production,power,DEU,5,0.0,0.0,0.0,0.0,0.0,0.0
76,Aluminium_production,power,DEU,6,0.0,0.0,0.0,0.0,0.0,0.0
77,Aluminium_production,power,DEU,7,0.0,0.0,0.0,0.0,0.0,0.0
78,Aluminium_production,power,DEU,8,0.0,0.0,0.0,0.0,0.0,0.0
79,Aluminium_production,power,DEU,9,0.0,0.0,0.0,0.0,0.0,0.0
80,Aluminium_production,power,DEU,10,0.0,0.0,0.0,0.0,0.0,0.0
81,Aluminium_production,power,DEU,11,0.0,0.0,0.0,0.0,0.0,0.0
82,Aluminium_production,power,DEU,12,0.0,0.0,0.0,0.0,0.0,0.0
83,Aluminium_production,power,DEU,13,0.0,0.0,0.0,0.0,0.0,0.0
84,Aluminium_production,power,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
85,Aluminium_production,power,ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
86,Aluminium_production,power,ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
87,Aluminium_production,power,ITA,3,0.0,0.0,0.0,0.0,0.0,0.0
88,Aluminium_production,power,ITA,4,0.0,0.0,0.0,0.0,0.0,0.0
89,Aluminium_production,power,ITA,5,0.0,0.0,0.0,0.0,0.0,0.0
90,Aluminium_production,power,ITA,6,0.0,0.0,0.0,0.0,0.0,0.0
91,Aluminium_production,power,ITA,7,0.0,0.0,0.0,0.0,0.0,0.0
92,Aluminium_production,power,ITA,8,0.0,0.0,0.0,0.0,0.0,0.0
93,Aluminium_production,power,ITA,9,0.0,0.0,0.0,0.0,0.0,0.0
94,Aluminium_production,power,ITA,10,0.0,0.0,0.0,0.0,0.0,0.0
95,Aluminium_production,power,ITA,11,0.0,0.0,0.0,0.0,0.0,0.0
96,Aluminium_production,power,ITA,12,0.0,0.0,0.0,0.0,0.0,0.0
97,Aluminium_production,power,ITA,13,0.0,0.0,0.0,0.0,0.0,0.0
98,Aluminium_production,power,JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
99,Aluminium_production,power,JPN,1,0.0,0.0,0.0,0.0,0.0,0.0
100,Aluminium_production,power,JPN,2,0.0,0.0,0.0,0.0,0.0,0.0
101,Aluminium_production,power,JPN,3,0.0,0.0,0.0,0.0,0.0,0.0
102,Aluminium_production,power,JPN,4,0.0,0.0,0.0,0.0,0.0,0.0
103,Aluminium_production,power,JPN,5,0.0,0.0,0.0,0.0,0.0,0.0
104,Aluminium_production,power,JPN,6,0.0,0.0,0.0,0.0,0.0,0.0
105,Aluminium_production,power,JPN,7,0.0,0.0,0.0,0.0,0.0,0.0
106,Aluminium_production,power,JPN,8,0.0,0.0,0.0,0.0,0.0,0.0
107,Aluminium_production,power,JPN,9,0.0,0.0,0.0,0.0,0.0,0.0
108,Aluminium_production,power,JPN,10,0.0,0.0,0.0,0.0,0.0,0.0
109,Aluminium_production,power,JPN,11,0.0,0.0,0.0,0.0,0.0,0.0
110,Aluminium_production,power,JPN,12,0.0,0.0,0.0,0.0,0.0,0.0
111,Aluminium_production,power,JPN,13,0.0,0.0,0.0,0.0,0.0,0.0
112,Aluminium_production,power,KOR,0,0.0,0.0,0.0,0.0,0.0,0.0
113,Aluminium_production,power,KOR,1,0.0,0.0,0.0,0.0,0.0,0.0
114,Aluminium_production,power,KOR,2,0.0,0.0,0.0,0.0,0.0,0.0
115,Aluminium_production,power,KOR,3,0.0,0.0,0.0,0.0,0.0,0.0
116,Aluminium_production,power,KOR,4,0.0,0.0,0.0,0.0,0.0,0.0
117,Aluminium_production,power,KOR,5,0.0,0.0,0.0,0.0,0.0,0.0
118,Aluminium_production,power,KOR,6,0.0,0.0,0.0,0.0,0.0,0.0
119,Aluminium_production,power,KOR,7,0.0,0.0,0.0,0.0,0.0,0.0
120,Aluminium_production,power,KOR,8,0.0,0.0,0.0,0.0,0.0,0.0
121,Aluminium_production,power,KOR,9,0.0,0.0,0.0,0.0,0.0,0.0
122,Aluminium_production,power,KOR,10,0.0,0.0,0.0,0.0,0.0,0.0
123,Aluminium_production,power,KOR,11,0.0,0.0,0.0,0.0,0.0,0.0
124,Aluminium_production,power,KOR,12,0.0,0.0,0.0,0.0,0.0,0.0
125,Aluminium_production,power,KOR,13,0.0,0.0,0.0,0.0,0.0,0.0
126,Aluminium_production,power,ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
127,Aluminium_production,power,ROE,1,0.0,0.0,0.0,0.0,0.0,0.0
128,Aluminium_production,power,ROE,2,0.0,0.0,0.0,0.0,0.0,0.0
129,Aluminium_production,power,ROE,3,0.0,0.0,0.0,0.0,0.0,0.0
130,Aluminium_production,power,ROE,4,0.0,0.0,0.0,0.0,0.0,0.0
131,Aluminium_production,power,ROE,5,0.0,0.0,0.0,0.0,0.0,0.0
132,Aluminium_production,power,ROE,6,0.0,0.0,0.0,0.0,0.0,0.0
133,Aluminium_production,power,ROE,7,0.0,0.0,0.0,0.0,0.0,0.0
134,Aluminium_production,power,ROE,8,0.0,0.0,0.0,0.0,0.0,0.0
135,Aluminium_production,power,ROE,9,0.0,0.0,0.0,0.0,0.0,0.0
136,Aluminium_production,power,ROE,10,0.0,0.0,0.0,0.0,0.0,0.0
137,Aluminium_production,power,ROE,11,0.0,0.0,0.0,0.0,0.0,0.0
138,Aluminium_production,power,ROE,12,0.0,0.0,0.0,0.0,0.0,0.0
139,Aluminium_production,power,ROE,13,0.0,0.0,0.0,0.0,0.0,0.0
140,Aluminium_production,power,ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
141,Aluminium_production,power,ROW,1,0.0,0.0,0.0,0.0,0.0,0.0
142,Aluminium_production,power,ROW,2,0.0,0.0,0.0,0.0,0.0,0.0
143,Aluminium_production,power,ROW,3,0.0,0.0,0.0,0.0,0.0,0.0
144,Aluminium_production,power,ROW,4,0.0,0.0,0.0,0.0,0.0,0.0
145,Aluminium_production,power,ROW,5,0.0,0.0,0.0,0.0,0.0,0.0
146,Aluminium_production,power,ROW,6,0.0,0.0,0.0,0.0,0.0,0.0
147,Aluminium_production,power,ROW,7,0.0,0.0,0.0,0.0,0.0,0.0
148,Aluminium_production,power,ROW,8,0.0,0.0,0.0,0.0,0.0,0.0
149,Aluminium_production,power,ROW,9,0.0,0.0,0.0,0.0,0.0,0.0
150,Aluminium_production,power,ROW,10,0.0,0.0,0.0,0.0,0.0,0.0
151,Aluminium_production,power,ROW,11,0.0,0.0,0.0,0.0,0.0,0.0
152,Aluminium_production,power,ROW,12,0.0,0.0,0.0,0.0,0.0,0.0
153,Aluminium_production,power,ROW,13,0.0,0.0,0.0,0.0,0.0,0.0
154,Aluminium_production,power,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
155,Aluminium_production,power,USA,1,0.0,0.0,0.0,0.0,0.0,0.0
156,Aluminium_production,power,USA,2,0.0,0.0,0.0,0.0,0.0,0.0
157,Aluminium_production,power,USA,3,0.0,0.0,0.0,0.0,0.0,0.0
158,Aluminium_production,power,USA,4,0.0,0.0,0.0,0.0,0.0,0.0
159,Aluminium_production,power,USA,5,0.0,0.0,0.0,0.0,0.0,0.0
160,Aluminium_production,power,USA,6,0.0,0.0,0.0,0.0,0.0,0.0
161,Aluminium_production,power,USA,7,0.0,0.0,0.0,0.0,0.0,0.0
162,Aluminium_production,power,USA,8,0.0,0.0,0.0,0.0,0.0,0.0
163,Aluminium_production,power,USA,9,0.0,0.0,0.0,0.0,0.0,0.0
164,Aluminium_production,power,USA,10,0.0,0.0,0.0,0.0,0.0,0.0
165,Aluminium_production,power,USA,11,0.0,0.0,0.0,0.0,0.0,0.0
166,Aluminium_production,power,USA,12,0.0,0.0,0.0,0.0,0.0,0.0
167,Aluminium_production,power,USA,13,0.0,0.0,0.0,0.0,0.0,0.0
