,technology,capacity_type,location,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Compressor_manufacturing,power,AUS,0,1.0,1.0,1.0,1.0,1.0,1.0
1,Compressor_manufacturing,power,AUS,1,1.0,1.0,1.0,1.0,1.0,1.0
2,Compressor_manufacturing,power,AUS,2,1.0,1.0,1.0,1.0,1.0,1.0
3,Compressor_manufacturing,power,AUS,3,1.0,1.0,1.0,1.0,1.0,1.0
4,Compressor_manufacturing,power,AUS,4,1.0,1.0,1.0,1.0,1.0,1.0
5,Compressor_manufacturing,power,AUS,5,1.0,1.0,1.0,1.0,1.0,1.0
6,Compressor_manufacturing,power,AUS,6,1.0,1.0,1.0,1.0,1.0,1.0
7,Compressor_manufacturing,power,AUS,7,1.0,1.0,1.0,1.0,1.0,1.0
8,Compressor_manufacturing,power,AUS,8,1.0,1.0,1.0,1.0,1.0,1.0
9,Compressor_manufacturing,power,AUS,9,1.0,1.0,1.0,1.0,1.0,1.0
10,Compressor_manufacturing,power,AUS,10,1.0,1.0,1.0,1.0,1.0,1.0
11,Compressor_manufacturing,power,AUS,11,1.0,1.0,1.0,1.0,1.0,1.0
12,Compressor_manufacturing,power,AUS,12,1.0,1.0,1.0,1.0,1.0,1.0
13,Compressor_manufacturing,power,AUS,13,1.0,1.0,1.0,1.0,1.0,1.0
14,Compressor_manufacturing,power,AUT,0,1.0,1.0,1.0,1.0,1.0,1.0
15,Compressor_manufacturing,power,AUT,1,1.0,1.0,1.0,1.0,1.0,1.0
16,Compressor_manufacturing,power,AUT,2,1.0,1.0,1.0,1.0,1.0,1.0
17,Compressor_manufacturing,power,AUT,3,1.0,1.0,1.0,1.0,1.0,1.0
18,Compressor_manufacturing,power,AUT,4,1.0,1.0,1.0,1.0,1.0,1.0
19,Compressor_manufacturing,power,AUT,5,1.0,1.0,1.0,1.0,1.0,1.0
20,Compressor_manufacturing,power,AUT,6,1.0,1.0,1.0,1.0,1.0,1.0
