,time_storage_level,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,0,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0
1,1,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0
2,2,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0
3,3,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0
4,4,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0
5,5,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0
6,6,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0
7,7,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0
8,8,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0
9,9,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0
10,10,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0
11,11,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0
12,12,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0
13,13,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0
