,technology,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_transport,0.0,0.0,0.0,0.0,0.0,0.0
1,Bauxite_transport,0.0,0.0,0.0,0.0,0.0,0.0
2,Compressor_transport,0.0,0.0,0.0,0.0,0.0,0.0
3,Copper_ore_transport,0.0,0.0,0.0,0.0,0.0,0.0
4,Copper_transport,0.0,0.0,0.0,0.0,0.0,0.0
5,HEX_transport,0.0,0.0,0.0,0.0,0.0,0.0
6,HP_transport,0.0,0.0,0.0,0.0,0.0,0.0
7,Iron_transport,0.0,0.0,0.0,0.0,0.0,0.0
8,Nickel_transport,0.0,0.0,0.0,0.0,0.0,0.0
9,Refrigerant_transport,0.0,0.0,0.0,0.0,0.0,0.0
10,Steel_transport,0.0,0.0,0.0,0.0,0.0,0.0
