From,To,scenario_name,Product,Value
AUT,CZE,Base,Hp Assembly,0.0695540000000001
BRA,ITA,Base,Hp Assembly,10.4
CHN,CZE,Base,Hp Assembly,4.810874000000005
CHN,ROE,Base,Hp Assembly,88.39976899999999
CZE,ITA,Base,Hp Assembly,2.6
CZE,ROE,Base,Hp Assembly,2.6
JPN,AUS,Base,Hp Assembly,8.688682999999997
JPN,ROW,Base,Hp Assembly,0.4467470000000002
KOR,AUS,Base,Hp Assembly,5.394493000000004
KOR,CZE,Base,Hp Assembly,1.418940999999995
USA,DEU,Base,Hp Assembly,5.635106
USA,ROE,Base,Hp Assembly,1.960643000000012
AUS,AUS,Base,Hp Assembly,3.5
AUT,AUT,Base,Hp Assembly,3.030446
CHN,CHN,Base,Hp Assembly,45.989356999999984
DEU,DEU,Base,Hp Assembly,8.9
ITA,ITA,Base,Hp Assembly,8.4
JPN,JPN,Base,Hp Assembly,14.76457
KOR,KOR,Base,Hp Assembly,11.086566
ROE,ROE,Base,Hp Assembly,29.2
ROW,ROW,Base,Hp Assembly,11.9
USA,USA,Base,Hp Assembly,89.804251
BRA,USA,DemandMet,Hp Assembly,3.0
CHN,AUS,DemandMet,Hp Assembly,6.354510000000005
CHN,CZE,DemandMet,Hp Assembly,2.405332000000002
CHN,DEU,DemandMet,Hp Assembly,3.5351060000000007
CHN,ITA,DemandMet,Hp Assembly,17.839388999999997
CHN,ROE,DemandMet,Hp Assembly,23.51397100000001
CHN,USA,DemandMet,Hp Assembly,10.262334999999991
CZE,ITA,DemandMet,Hp Assembly,2.6
CZE,ROE,DemandMet,Hp Assembly,2.6
KOR,USA,DemandMet,Hp Assembly,3.313434000000001
ROW,AUS,DemandMet,Hp Assembly,2.228665999999997
ROW,AUT,DemandMet,Hp Assembly,1.138325
ROW,CZE,DemandMet,Hp Assembly,3.5
ROW,DEU,DemandMet,Hp Assembly,3.5
ROW,ITA,DemandMet,Hp Assembly,3.5
ROW,ROE,DemandMet,Hp Assembly,3.5
ROW,USA,DemandMet,Hp Assembly,3.5
AUS,AUS,DemandMet,Hp Assembly,9.0
AUT,AUT,DemandMet,Hp Assembly,1.892121
CHN,CHN,DemandMet,Hp Assembly,45.989357
DEU,DEU,DemandMet,Hp Assembly,7.5
ITA,ITA,DemandMet,Hp Assembly,7.0
JPN,JPN,DemandMet,Hp Assembly,14.76457
KOR,KOR,DemandMet,Hp Assembly,11.086566
ROE,ROE,DemandMet,Hp Assembly,102.950011
ROW,ROW,DemandMet,Hp Assembly,12.346747
USA,USA,DemandMet,Hp Assembly,69.728482
