From,To,scenario_name,Product,Value
AUT,AUT,Base,Copper,0.2
BRA,BRA,Base,Copper,1.0
CHN,CHN,Base,Copper,380.0
DEU,DEU,Base,Copper,0.2
ITA,ITA,Base,Copper,1.0
JPN,JPN,Base,Copper,0.2
KOR,KOR,Base,Copper,0.2
ROE,ROE,Base,Copper,535.2
ROW,ROW,Base,Copper,1047.1005
AUT,AUT,DemandMet,Copper,0.2
BRA,BRA,DemandMet,Copper,1.0
CHN,CHN,DemandMet,Copper,380.0
DEU,DEU,DemandMet,Copper,0.2
ITA,ITA,DemandMet,Copper,1.0
JPN,JPN,DemandMet,Copper,0.2
KOR,KOR,DemandMet,Copper,0.2
ROE,ROE,DemandMet,Copper,535.2
ROW,ROW,DemandMet,Copper,1157.0609901862504
AUT,AUT,SelfSuff40,Copper,0.2
BRA,BRA,SelfSuff40,Copper,1.0
CHN,CHN,SelfSuff40,Copper,380.0
DEU,DEU,SelfSuff40,Copper,0.2
ITA,ITA,SelfSuff40,Copper,1.0
JPN,JPN,SelfSuff40,Copper,0.2
KOR,KOR,SelfSuff40,Copper,0.2
ROE,ROE,SelfSuff40,Copper,535.2
ROW,ROW,SelfSuff40,Copper,1157.06099018625
DEU,CZE,Recycling,Copper,5.406912500000004
AUT,AUT,Recycling,Copper,5.55
DEU,DEU,Recycling,Copper,49.8330875
ITA,ITA,Recycling,Copper,1.375
ROE,ROE,Recycling,Copper,669.0
BRA,BRA,Recycling,Copper,1.0
CHN,CHN,Recycling,Copper,380.0
JPN,JPN,Recycling,Copper,0.2
KOR,KOR,Recycling,Copper,0.2
ROW,ROW,Recycling,Copper,962.49599018625
BRA,USA,Base,Nickel,14.8
CZE,AUT,Base,Nickel,1.0
CZE,DEU,Base,Nickel,1.0
CZE,ITA,Base,Nickel,1.0
CZE,ROE,Base,Nickel,1.0
JPN,AUS,Base,Nickel,1.0
ROW,AUS,Base,Nickel,4.4
ROW,AUT,Base,Nickel,0.8599999999999999
ROW,CHN,Base,Nickel,32.0
ROW,CZE,Base,Nickel,5.6
ROW,DEU,Base,Nickel,2.267326732673267
ROW,ITA,Base,Nickel,4.04
ROW,KOR,Base,Nickel,0.4
ROW,ROE,Base,Nickel,16.52
ROW,USA,Base,Nickel,0.3199999999999985
BRA,USA,DemandMet,Nickel,14.8
CZE,AUT,DemandMet,Nickel,1.0
CZE,DEU,DemandMet,Nickel,1.0
CZE,ITA,DemandMet,Nickel,1.0
CZE,ROE,DemandMet,Nickel,1.0
JPN,AUS,DemandMet,Nickel,2.3412580000000016
ROW,AUS,DemandMet,Nickel,3.058741999999998
ROW,AUT,DemandMet,Nickel,0.1352725999999999
ROW,CHN,DemandMet,Nickel,32.0
ROW,CZE,DemandMet,Nickel,5.6
ROW,DEU,DemandMet,Nickel,2.267326732673267
ROW,ITA,DemandMet,Nickel,3.2
ROW,KOR,DemandMet,Nickel,0.4
ROW,ROE,DemandMet,Nickel,26.0
ROW,USA,DemandMet,Nickel,0.3199999999999985
AUT,CZE,SelfSuff40,Nickel,0.1
BRA,USA,SelfSuff40,Nickel,14.8
CZE,AUT,SelfSuff40,Nickel,1.0
CZE,DEU,SelfSuff40,Nickel,1.0
CZE,ITA,SelfSuff40,Nickel,1.0
CZE,ROE,SelfSuff40,Nickel,1.0
JPN,AUS,SelfSuff40,Nickel,2.3412580000000016
ROW,AUS,SelfSuff40,Nickel,3.058741999999998
ROW,CHN,SelfSuff40,Nickel,32.0
ROW,CZE,SelfSuff40,Nickel,5.5
ROW,DEU,SelfSuff40,Nickel,7.8003900800000014
ROW,ITA,SelfSuff40,Nickel,4.844
ROW,KOR,SelfSuff40,Nickel,0.4
ROW,ROE,SelfSuff40,Nickel,26.0
ROW,USA,SelfSuff40,Nickel,0.3199999999999985
BRA,USA,Recycling,Nickel,14.8
CZE,AUT,Recycling,Nickel,1.0
CZE,DEU,Recycling,Nickel,1.0
CZE,ITA,Recycling,Nickel,1.0
JPN,AUS,Recycling,Nickel,2.3412580000000016
ROE,AUT,Recycling,Nickel,0.0652725999999999
ROE,CZE,Recycling,Nickel,4.6
ROE,DEU,Recycling,Nickel,0.6347274
ROE,ITA,Recycling,Nickel,3.2
ROW,AUS,Recycling,Nickel,3.058741999999998
ROW,CHN,Recycling,Nickel,32.0
ROW,DEU,Recycling,Nickel,1.632599332673267
ROW,KOR,Recycling,Nickel,0.4
ROW,USA,Recycling,Nickel,0.3199999999999985
AUT,AUT,Recycling,Nickel,0.0699999999999999
ROE,ROE,Recycling,Nickel,27.0
